sdss_id,teff,logg,fe_h,mg_h,v_macro,snr
54498655,5076.44,4.7482,-0.0057,-0.121,10.5682,76.01
54499925,5826.62,4.4521,0.3697,0.3033,2.4247,87.59
54500225,5768.29,4.0316,-1.3201,-2.1063,15.8563,99.36
54500291,5076.02,4.6017,-0.1133,-0.0762,0.1622,102.67
54500396,5656.54,4.4736,0.0221,-0.0485,6.5493,105.95
54501088,4781.73,4.79,-0.0545,-0.0466,0.1164,73.37
54501952,5796.54,4.4578,0.2214,0.1477,3.5984,75.7
54501955,5699.73,4.3527,0.1243,0.1205,0.1278,138.63
54501991,5183.34,4.481,-0.0328,-0.0141,4.8156,109.76
54502028,4671.95,4.7773,-0.0232,-0.068,6.4264,108.88
54502510,5676.64,4.0343,-0.0694,0.0462,4.0597,85.71
54502763,4754.09,4.5467,-0.3576,-0.1056,6.296,77.69
54502910,5523.03,4.0243,-0.0213,0.0014,5.6419,66.7
54503059,5457.31,4.084,0.0281,0.1811,5.5769,174.93
54504429,4691.9,4.6559,0.0368,0.0035,8.6349,119.26
54504468,4752.0,4.9802,-1.4606,-1.9615,3.249,207.39
54504496,5409.41,4.6428,0.2257,0.1803,4.568,101.44
54505373,6316.51,4.3112,-1.2662,-1.797,18.3366,377.41
54505994,5119.01,4.8284,-1.4916,-2.4588,8.2228,132.99
54507371,4930.29,4.6467,0.1117,0.1415,7.8589,102.54
54512248,5487.61,3.9226,-1.2977,-1.7928,16.2188,235.88
54513355,5228.15,4.6638,-0.262,-0.2706,7.2026,118.53
54514610,5010.49,4.7136,-0.1265,-0.0573,5.5554,126.51
54515018,4056.9,4.7515,-0.1403,-0.0134,5.1182,126.14
54522031,4780.45,4.7093,-0.0352,0.0245,5.7807,281.16
54539594,4757.51,4.7481,-0.2495,-0.2176,0.1663,85.11
54539881,4505.36,4.6659,-0.1248,-0.1041,6.4838,77.09
54540060,4801.72,4.795,-0.1882,-0.0764,0.2066,129.08
54540127,4654.73,4.5286,0.169,0.1861,4.6189,109.19
54541380,4642.38,4.725,-0.2704,-0.1768,4.4873,81.19
54541648,4853.61,4.729,0.1852,0.1555,6.5888,242.37
54541775,4264.19,4.5765,-0.1097,-0.0931,2.5307,177.84
54542118,4235.78,4.574,-0.5385,-0.4723,6.2838,90.43
54542120,4808.97,4.4435,-0.0202,0.0367,13.3691,95.82
54542428,4215.54,4.4652,0.0536,-0.0308,1.5902,90.23
54542673,4099.85,4.6149,0.046,0.0184,3.4081,89.17
54542702,4731.54,4.4407,-0.336,-0.1225,6.1579,156.81
54543162,4770.56,4.6697,0.0098,0.034,2.8362,140.7
54543629,5010.81,4.4922,-0.1318,-0.0495,2.7955,173.79
54543699,4683.61,4.3944,0.2028,0.1701,13.3013,89.18
54544725,4409.45,4.7003,0.023,0.0038,3.6629,77.09
54544889,4990.97,4.5641,0.0942,0.149,14.6744,138.63
54545035,4713.17,4.5068,-0.0131,0.0594,0.7299,120.63
54545204,5220.63,4.6315,0.1099,0.1928,0.4281,115.38
54545350,4829.53,4.5846,-0.1201,-0.1063,0.1037,96.11
54545592,5133.89,4.6803,0.1294,0.1778,3.5701,106.54
54545887,4374.04,4.769,-0.2202,-0.2867,4.1977,98.12
54546449,5320.35,4.6836,-0.0175,-0.0278,6.5363,139.96
54546712,4888.96,4.7078,0.0535,0.0398,8.2425,85.77
54547486,4485.56,4.6612,0.0406,-0.0394,3.5582,94.37
54547690,4224.03,4.5028,0.1414,0.1064,1.0024,151.6
54548909,5011.86,4.6532,-0.2633,-0.1841,1.7313,67.08
54549156,4096.35,4.7955,0.1635,0.1164,1.7668,105.43
54549174,4732.13,4.685,0.1966,0.1892,6.0185,247.58
54551622,4996.05,4.7488,-0.2255,-0.1745,8.6762,190.48
54552041,4285.71,4.626,-0.2846,-0.3013,3.9413,97.46
54552239,4943.99,4.0333,-0.1302,-0.1153,13.2226,87.15
54552577,5006.04,4.6911,0.0146,0.0173,8.0676,100.11
54552720,5045.13,4.6215,0.1182,0.1527,6.1431,158.14
54559890,4293.29,4.7443,-0.3461,-0.4436,4.9936,81.69
54560778,4056.34,4.7307,-0.114,0.12,0.214,104.0
54561932,5065.48,4.7045,0.1357,0.1213,4.9831,344.55
54562249,4615.56,4.7196,-0.2278,-0.121,0.8042,125.45
54562324,4666.29,4.6347,-0.0872,-0.0669,1.5827,228.84
54562621,4443.51,4.9918,-1.1062,-1.586,22.3284,142.73
54562872,4727.47,4.6429,-0.3288,-0.2724,0.1039,110.74
54562958,4036.96,4.5779,0.1124,0.0828,8.8015,152.86
54562987,4957.77,4.7777,0.0247,-0.0566,13.4649,295.79
54563124,4131.41,4.6334,0.098,0.0231,5.2086,233.17
54563143,5060.72,4.9607,-1.0731,-1.3747,20.5198,172.65
54563165,4467.06,4.8045,-0.0311,-0.0237,3.6775,110.0
54563198,5388.67,4.0348,-1.3135,-1.3681,26.032,69.53
54563223,5233.31,4.0221,-1.347,-1.7927,29.2832,68.77
54563426,4879.97,4.5437,0.0419,0.2298,2.0948,332.2
54563929,4710.99,4.7648,-0.0972,-0.0363,1.8589,215.29
54564151,4982.84,4.6287,-0.3442,0.0068,4.332,149.28
54564279,5482.66,4.755,0.0354,-0.0386,13.882,354.39
54564438,6838.34,4.3611,-0.1438,-0.3248,22.7991,970.48
54564622,5592.17,4.7383,0.0548,-0.0338,12.6256,414.96
54564678,4556.67,4.7332,-1.4626,-1.8528,29.8851,102.53
54564680,4215.29,4.7772,-0.7885,-0.9809,6.007,140.59
54564781,4895.01,4.5755,-0.0581,-0.0889,22.316,380.38
54568142,4873.99,4.5894,-0.0579,0.0787,2.7704,102.69
54568436,5332.42,4.7843,-0.3189,0.0125,5.1021,153.24
54568495,4502.71,4.7784,0.2533,0.2192,7.8727,110.34
54569404,4443.68,4.6132,-0.0432,-0.053,5.4992,116.87
54569869,4829.9,4.6012,0.0735,0.1145,5.9727,106.26
54570181,5914.07,4.5568,0.0039,-0.1147,15.6758,511.76
54583560,4046.75,4.9212,0.1224,-0.0055,13.5855,78.11
54583700,4152.99,4.6372,-0.244,-0.2493,4.4776,98.58
54583823,4747.46,4.7249,-0.0266,-0.0303,3.9782,275.84
54584138,4467.17,4.9162,-0.3768,-0.2811,2.8882,80.52
54584200,4560.67,4.6985,-0.2865,-0.1392,1.5676,67.97
54587080,4662.37,4.7122,0.0938,0.1159,4.4574,163.02
54601073,4889.59,4.7177,-0.1155,-0.1324,5.7855,103.74
54609024,4896.75,4.6999,0.1005,0.1654,2.5068,132.89
54610907,4123.93,4.7229,0.096,0.0815,6.3326,109.2
54611144,5554.64,4.6889,0.0474,-0.0357,12.4708,458.88
54611168,5184.47,4.6125,-0.0512,-0.0931,16.9472,394.3
54611190,4839.75,4.6533,-0.0314,-0.0587,19.4652,317.19
54611246,4959.64,4.9317,-1.4611,-1.8292,29.9679,88.86
54611253,6539.59,4.4004,-0.098,-0.299,29.9907,832.31
54611303,4044.68,4.9929,0.2189,0.1287,9.7381,232.27
54611358,4954.5,4.575,-0.115,-0.1437,23.373,330.79
54611402,5124.99,4.7407,-1.4362,-1.9153,29.9097,69.13
54611450,6064.64,4.5876,-0.0694,-0.2379,9.8973,362.32
54611478,6789.67,4.8222,-0.1283,-0.4427,29.9819,391.12
54611510,5359.14,4.0472,-1.3868,-1.4909,29.7145,69.84
54611546,4905.05,4.7165,-0.0729,-0.1023,13.5191,310.39
54611556,6026.18,4.4601,-0.0624,-0.2187,29.9974,612.07
54611613,4838.95,4.6948,0.0919,0.0415,7.5105,289.68
54611664,5163.94,4.7127,-1.4447,-1.8929,29.9605,93.19
54611671,5387.53,4.6382,-0.0053,-0.0685,12.5207,372.01
54611712,4923.41,4.4212,-1.4973,-2.1255,19.1125,64.48
54611800,4949.06,4.5573,-0.0749,-0.0818,19.1433,370.45
54611953,5650.16,4.6874,-0.047,-0.1237,18.3371,548.55
54612237,5230.62,4.7798,-1.493,-2.161,29.7763,105.97
54612413,4340.22,4.3112,-0.3174,-0.3959,28.9702,367.84
54612431,4682.82,4.6561,-0.0719,-0.0976,21.8519,326.21
54613083,6118.2,4.5206,0.0262,-0.1136,10.0219,686.29
54613200,4711.99,4.9906,-1.2807,-1.7158,29.5108,116.43
54613458,4833.61,4.7067,-0.1261,-0.0719,6.6987,102.94
54613864,4650.73,4.4921,0.0414,0.0935,8.399,174.78
54614453,4226.55,4.5893,-0.0834,-0.1299,17.3725,222.02
54614506,4536.47,4.6326,-0.2535,-0.3153,20.5056,293.3
54614569,5416.12,4.7561,0.0894,0.0214,13.6055,409.84
54614831,4037.19,4.8762,-1.0842,-1.5173,17.3159,114.69
54614903,5023.17,4.5823,-0.0573,-0.0878,17.1168,325.7
54615057,5574.89,4.6732,0.0162,-0.0583,22.4143,401.19
54615163,5817.59,4.3827,0.1657,0.1054,6.0207,384.79
54615766,5193.38,4.6707,0.193,0.2486,3.2133,87.39
54618793,4926.9,4.7097,0.0172,0.0381,6.3708,74.43
54618847,5874.41,4.0429,-0.3005,-0.4062,5.1383,93.48
54618851,5843.23,4.3475,0.0201,-0.0624,8.14,94.8
54620797,4249.56,4.7176,-0.1127,-0.1767,5.5967,193.74
54622062,4217.5,4.6406,-0.0129,-0.0383,7.1441,125.16
54625435,4826.06,4.5784,-0.2826,-0.1701,8.7365,113.61
54627470,4456.61,4.7425,-0.2466,-0.1511,5.2533,100.15
54627840,4411.76,4.4492,-0.0164,0.0115,7.6144,116.68
54640946,5170.52,4.5695,0.0103,0.2111,1.8859,75.28
54641027,5184.89,4.5275,-0.0606,0.0219,2.3812,102.85
54643330,4397.86,4.594,0.057,0.0352,5.6674,112.25
54644339,4077.83,4.8658,0.1868,0.1902,1.2716,135.66
54650763,5155.16,4.4236,-0.0666,-0.1036,5.5241,77.35
54651192,5058.19,4.7154,-0.6817,-0.6934,29.1456,135.2
54651316,4680.16,4.5991,-0.3158,-0.1574,0.699,233.68
54651767,4706.6,4.7058,-0.3919,-0.1561,4.1522,68.03
54658085,4051.17,4.1914,0.2525,0.2165,0.1045,68.72
54660540,4883.66,4.5604,0.021,0.0587,8.1279,302.13
54664327,4785.26,4.6778,0.0937,0.0617,9.5986,107.34
54671330,4588.22,4.722,-0.3703,-0.2585,5.5224,74.47
54679723,4383.65,4.8012,-0.4951,-0.2263,4.8293,102.94
54695748,4129.17,4.6561,0.0977,0.0238,9.5508,122.9
54712142,4188.69,4.5385,0.0691,0.06,3.4811,85.09
54712260,4331.54,4.7,-0.3018,-0.2154,0.8076,131.95
54713697,4456.46,4.3562,0.1032,0.1678,6.7127,219.85
54714302,4017.7,4.9395,0.2782,0.3402,2.3435,133.12
54714669,4785.43,4.7843,-0.0454,-0.0469,6.3935,171.06
54715047,4360.29,4.9515,-0.2904,-0.2578,0.2284,137.4
54715381,4704.07,4.6584,-0.2562,-0.1425,4.2363,120.02
54716112,4089.6,4.6862,0.1744,0.1178,4.5522,102.42
54721022,4921.5,4.5049,-0.0518,0.0442,3.6142,71.84
54722660,4368.06,4.854,-0.2181,-0.1569,5.0219,144.98
54722819,5407.61,4.5366,-0.1283,-0.0212,4.0158,90.8
54723932,5140.35,4.8239,-1.4931,-2.0072,3.567,69.85
54726652,4303.78,4.6353,0.0475,-0.1132,4.9933,70.35
54729937,4190.51,4.8375,-0.2158,-0.2236,3.4993,204.11
54731325,4148.9,4.6865,0.1987,0.1563,5.371,171.25
54731515,5032.98,4.6227,0.1782,0.1398,7.094,132.17
54731600,4701.31,4.7884,-0.3028,-0.1515,5.9725,269.49
54731627,4141.81,4.7282,0.098,0.1002,3.628,124.36
54732888,4077.61,4.7876,0.008,-0.0482,5.1034,624.93
54734236,4580.01,4.5823,0.154,0.1801,8.6899,125.96
54734877,6561.41,4.4732,-1.485,-2.4745,22.8649,756.5
54743731,4427.97,4.8512,0.1469,0.2844,0.1335,320.56
54750422,5591.61,4.1215,-1.4751,-2.2562,10.1573,260.14
54750562,4748.04,4.7934,-0.0721,-0.0178,0.5897,207.17
54753056,6546.97,4.8274,-1.4546,-2.4497,23.5383,863.44
54754838,4716.89,4.6686,-0.0148,0.0372,4.7047,75.41
54756040,4692.56,4.5341,0.2022,0.1924,5.9,101.46
54761605,4502.47,4.6386,0.0862,0.0909,7.2999,164.12
54761851,5136.52,4.6828,-0.3641,-0.2779,3.8526,118.78
54762202,4811.94,4.8263,-0.2216,-0.1493,2.8156,153.84
54766591,6627.49,5.1974,-1.4532,-2.3006,20.6268,688.25
54775699,6866.18,4.4569,-1.4234,-2.4389,21.4156,844.1
54775985,6809.33,4.1438,-1.4971,-2.443,18.8779,924.03
54776021,6180.17,4.9229,-1.4349,-2.2205,22.3882,310.67
54781919,6233.48,4.0137,-1.4991,-2.4355,24.3178,90.3
54783042,6460.44,4.0551,-1.4603,-2.4685,21.6189,579.06
54783881,6901.66,4.4357,-1.4601,-2.4631,18.3975,986.3
54787226,4579.53,4.8178,-0.2308,-0.1636,8.166,75.37
54787832,7226.79,4.7854,-1.4877,-2.3745,17.8889,481.47
54788498,6882.49,5.102,-1.4982,-2.4751,20.6793,902.07
54788754,6244.76,4.0179,-1.44,-2.46,26.6058,664.95
54789498,6268.96,4.948,-1.4385,-1.9164,26.6558,651.1
54789690,6940.78,4.4006,-1.4948,-2.3192,20.2278,976.24
54789837,6572.32,4.4772,-1.4976,-2.387,23.3228,180.64
54789848,6897.59,4.7064,-1.4776,-2.3134,19.5585,832.95
54791013,6454.11,4.3216,-1.3392,-2.1651,19.1405,351.54
54791435,6865.2,4.4481,-1.4843,-2.4522,19.3666,920.52
54791693,6069.59,4.4588,-0.101,-0.2162,20.1357,360.82
54792730,6532.69,4.6117,-1.3204,-1.9556,21.9766,509.34
54793036,6175.51,4.3992,-0.07,-0.2207,16.1603,1004.36
54793074,6840.02,4.2475,-1.1621,-1.9086,19.313,975.06
54793596,6454.38,4.9265,-1.4976,-2.4726,15.3219,812.77
54794503,6801.0,4.3441,-1.4401,-2.3232,20.932,690.94
54795174,7227.56,4.9061,-1.497,-2.4645,19.5316,844.72
54795180,5927.31,4.5187,0.0779,-0.0386,12.2346,154.38
54798385,7131.98,4.7826,-1.4592,-2.271,19.0784,918.7
54810911,6365.75,4.276,-0.0385,-0.2273,29.9846,172.43
54810918,5931.74,4.2643,0.0431,-0.0692,6.3265,130.75
54817505,4742.41,4.9443,-1.3545,-1.8401,6.6094,206.53
54820733,4052.33,4.82,0.093,-0.0114,3.7432,103.7
54821024,4034.15,4.7453,0.088,0.0756,6.5693,96.21
54830484,4026.5,4.9477,0.0626,-0.0026,2.1588,83.12
54830487,4892.33,4.5951,0.1497,0.19,4.5352,248.02
54831650,5350.32,4.6893,0.0658,0.0759,6.9396,128.09
54832221,5467.88,4.4898,-0.113,-0.0278,0.1408,107.19
54843633,4068.9,4.4825,0.1207,0.1739,3.7574,123.3
54845898,4209.68,4.6347,0.2953,0.2463,3.2728,567.52
54846231,4360.2,4.6638,0.1159,0.1437,4.152,93.46
54846671,5463.68,4.6507,0.0484,-0.0019,8.5441,245.93
54846802,6059.19,4.1411,-0.2311,-0.2381,6.5576,143.37
54846815,4176.9,4.764,0.0352,0.054,3.7891,166.05
54846818,6117.94,4.1136,-0.2006,-0.2606,8.833,465.23
54846830,6398.01,4.0958,-0.0765,-0.1615,19.2411,142.97
54846860,6998.35,4.4254,-0.0955,-0.3106,16.4517,113.99
54847022,5669.74,4.619,-0.4439,-0.7796,29.9974,89.9
54847124,5879.41,4.3734,0.0522,-0.0201,5.7939,126.71
54847132,5976.44,4.4956,-0.0144,-0.1495,6.497,168.55
54848527,4312.43,4.4973,0.1282,0.1359,2.1412,73.58
54852056,5188.44,4.6202,-0.3367,-0.0239,2.2135,117.67
54854163,5199.87,4.6624,0.1696,0.1833,5.7994,147.32
54862334,5771.5,4.3742,-0.1226,-0.1459,3.6545,60.06
54862932,5931.25,4.6672,0.0165,-0.0774,7.9744,357.44
54863045,5254.44,3.9274,0.1055,0.1265,4.9781,82.28
54863064,5631.21,4.4226,0.372,0.2503,2.0104,154.32
54863196,6001.08,4.2435,-0.0136,-0.1234,5.6307,190.07
54863239,6029.47,4.5167,-0.0315,-0.2154,11.6375,104.8
54863466,6892.6,4.7859,-0.1405,-0.3412,29.9974,132.68
54863875,6541.95,4.7913,-0.1603,-0.4213,29.9972,124.28
54863978,6198.85,4.133,-0.372,-0.4572,11.2528,387.94
54864114,5692.48,4.4957,0.1232,0.0656,7.4621,111.24
54864360,6394.01,4.2356,-0.2314,-0.3934,29.996,168.11
54864426,6146.84,4.6937,-0.2534,-0.2727,0.8024,123.28
54864571,6196.99,4.3614,-0.3112,-0.3364,12.1359,171.3
54864636,5610.05,4.2177,-0.1979,-0.1825,1.1603,272.13
54864705,6744.28,4.2768,0.1752,-0.0262,29.9974,164.79
54864892,4016.42,4.827,0.1226,0.0863,1.4669,161.2
54864950,6609.12,4.4624,-0.6603,-1.3711,29.9606,112.97
54865005,6026.35,4.5459,-0.0536,-0.0756,19.8417,149.33
54865041,5748.55,4.2871,0.0635,0.0183,5.7652,132.18
54865106,6319.31,4.6661,-0.4022,-0.9704,29.9721,112.2
54865137,5956.13,4.1901,0.0339,-0.0514,6.5816,130.13
54865173,5500.12,4.3737,-0.147,-0.0342,2.2442,182.27
54865178,6231.2,4.2459,-1.4703,-1.5753,10.7047,153.09
54865303,6166.84,4.4141,-0.3875,-0.4519,7.6989,647.31
54865454,5870.71,4.6004,0.0774,-0.0043,0.6117,100.17
54865823,5426.56,4.59,0.1618,0.2542,5.356,144.65
54865859,4943.92,4.2521,-0.3436,-0.6279,29.6248,150.92
54865864,5934.54,4.5152,0.0506,-0.0812,7.2191,180.95
54865916,6967.35,4.3236,-0.2863,-0.473,29.9892,186.73
54865969,6080.85,4.2727,-0.9366,-1.6589,29.8483,196.84
54866046,6111.61,4.3122,-0.2943,-0.2599,6.3338,256.92
54866109,5721.32,4.6041,0.2335,0.0734,5.5248,135.29
54866486,6463.79,4.2534,-0.4924,-0.9464,29.9973,142.52
54866596,5718.59,4.5233,-0.0525,-0.1476,11.6483,185.67
54866687,5797.32,4.5026,-0.5324,-0.4271,6.7929,171.96
54866727,6074.95,4.6367,0.04,-0.1306,3.801,104.84
54866791,6290.9,4.2523,0.0711,-0.0586,21.3772,106.62
54866950,5221.36,4.5159,-0.5178,-0.129,0.7772,172.17
54867312,6089.91,4.6924,0.0219,-0.0396,8.4808,105.82
54867434,5946.47,4.7332,-0.0196,-0.0799,16.0993,261.76
54867439,5865.44,4.4504,-0.2044,-0.2218,4.911,162.83
54867475,5445.18,4.6933,-0.0662,0.0019,6.4247,128.57
54867589,6386.1,4.0374,-0.0334,-0.1045,15.4172,186.61
54867597,6800.01,4.5463,-1.4787,-2.3776,20.7521,569.21
54867743,5739.8,4.2571,-0.1617,-0.0231,0.7374,122.59
54867776,6624.94,4.689,-1.4992,-2.4348,16.3496,675.19
54867911,5716.13,4.1953,0.1528,-0.0217,7.0365,450.55
54867952,6054.61,4.3923,-0.1924,-0.2309,6.0254,152.23
54867990,6419.94,4.2357,-0.3407,-0.3893,16.9459,167.91
54868081,5247.91,4.7399,0.0414,0.0279,8.9252,190.34
54868157,6584.57,4.3736,-0.0933,-0.2726,29.9973,196.93
54868167,5026.4,4.5748,0.2939,0.2785,6.1952,208.94
54868268,5289.56,4.3733,-0.543,-0.6615,29.9512,141.52
54868445,5668.12,4.4346,-0.1832,-0.2112,5.4528,152.34
54870942,5396.39,4.6713,0.0894,0.0996,4.9678,81.63
54873767,6989.55,4.9235,-1.4997,-2.4693,19.6718,716.0
54874217,6816.88,4.3261,-0.1775,-0.3749,29.9945,149.0
54874510,6033.36,4.4798,-0.0141,-0.1772,13.6328,311.96
54874673,6905.56,4.2143,-1.4964,-2.3581,20.5122,960.01
54875816,6862.23,4.7973,-1.4895,-2.4775,21.1497,785.39
54876239,6772.75,4.3034,-0.0733,-0.31,29.9974,390.16
54876635,6043.53,4.3201,-0.0814,-0.2527,13.783,277.02
54876748,6008.57,4.0105,-0.3868,-0.4335,10.3259,69.58
54876760,5643.64,4.0673,-0.1953,-0.1579,1.715,78.44
54876880,6154.41,4.3294,0.1971,0.1229,6.3795,67.36
54876996,5684.74,4.2663,-0.7974,-0.4149,1.0644,153.05
54877073,5518.3,4.0268,-0.467,-0.1657,1.8445,162.07
54877124,6695.01,4.2246,-0.8755,-1.3844,29.806,139.29
54877162,6974.24,4.4025,-1.3457,-2.4173,21.6796,160.77
54877170,6983.08,4.804,-0.6387,-1.279,29.9924,115.95
54877207,6372.08,4.1509,-0.2178,-0.1887,26.7099,70.29
54877228,5084.24,4.5177,0.0048,0.0935,0.3215,125.99
54877230,6504.08,4.3272,-0.3061,-0.3249,29.9679,81.47
54877307,6260.27,4.0846,-0.2144,-0.4145,12.0579,127.34
54877463,6178.41,4.4014,0.016,-0.0627,11.1459,64.86
54877755,6339.39,4.298,-0.6057,-1.1123,29.9772,110.52
54877785,6725.14,4.4209,0.0317,-0.4027,29.9026,66.08
54877901,5735.59,4.514,-0.1634,-0.2561,10.1932,136.89
54877927,6077.78,4.4093,-0.2067,-0.2098,23.7915,80.76
54877950,7193.65,4.481,-0.1289,-0.9007,25.0288,116.07
54878067,6324.0,4.7356,-0.3446,-0.7271,29.7602,133.83
54878086,5635.86,4.0184,-0.171,-0.0779,5.94,65.54
54878088,6519.8,4.9125,-1.484,-2.4365,18.1817,589.65
54878114,6510.68,4.7315,-0.8227,-1.5041,25.0965,113.62
54878180,6293.12,4.6642,-0.0933,-0.4277,29.9913,148.78
54878224,6299.82,4.1531,-0.391,-0.6605,22.1832,119.4
54878281,6385.56,4.0814,-0.081,-0.22,29.9926,67.34
54878335,6553.72,4.9646,-0.2362,-0.6439,29.9971,67.71
54878366,6703.08,4.7561,-0.7498,-1.1976,29.9972,61.71
54878374,4205.89,4.5451,0.0701,0.06,2.3623,123.13
54878404,6324.45,4.0077,-0.1022,-0.1617,9.714,104.38
54878410,6053.12,4.3512,0.0078,-0.0997,7.6632,72.93
54878433,6717.98,4.8699,-0.0864,-0.3983,29.985,85.91
54878468,5785.01,4.2911,0.0388,0.0219,29.9951,70.78
54880391,5786.33,4.7785,0.1931,0.0526,7.0008,181.03
54880563,6578.43,4.0164,-0.4314,-0.4148,29.9973,273.79
54881303,6369.45,4.1786,-0.2739,-0.2903,21.3346,162.24
54884194,6772.05,4.3104,-0.197,-0.3426,29.9888,96.58
54884278,6956.11,4.5235,-0.0686,-0.5326,29.9972,66.02
54884293,5940.67,4.5656,-0.0735,-0.2381,29.9912,305.44
54884422,5260.45,4.6444,-0.0941,-0.0537,5.8052,151.09
54884789,6575.74,4.1664,-0.4199,-0.4395,23.2113,203.84
54884982,5791.0,4.3298,0.2574,0.1674,5.5703,63.12
54885023,6451.66,4.0134,-0.1361,-0.3025,24.5792,79.35
54885101,6840.54,4.1931,-0.7014,-1.1564,29.9566,77.15
54885136,5171.65,4.0269,-0.5823,-0.7864,29.9765,73.21
