log10_age_yr,feh,initial_mass,log_Teff,log_g,log_L
10.0792,-0.5,1.2,3.76696,4.0182,0.5217
10.0792,-0.5,1.4,3.76531,3.5949,1.0053
10.0792,-0.5,1.6,3.75306,3.1103,1.4989
10.0792,-0.5,1.8,3.75403,2.6717,1.9926
10.0792,-0.5,2.0,3.75612,2.2322,2.4862
10.0792,-0.5,2.5,3.74231,1.4601,3.3
10.0792,-0.5,3.0,3.79248,1.3399,3.7
8.699,0.0,0.3,3.53148,4.9959,-2.0
8.699,0.0,0.4,3.56229,4.7941,-1.55
8.699,0.0,0.5,3.57978,4.611,-1.2
8.699,0.0,0.6,3.61805,4.4932,-0.85
8.699,0.0,0.7,3.66276,4.389,-0.5
8.699,0.0,0.8,3.70329,4.3091,-0.2
8.699,0.0,0.9,3.7364,4.3927,-0.1
8.699,0.0,1.0,3.76118,4.4376,0.0
8.699,0.0,1.1,3.77815,4.4269,0.12
8.699,0.0,1.2,3.79588,4.3956,0.26
8.699,0.0,1.4,3.82607,4.2933,0.55
8.699,0.0,1.6,3.84819,4.1397,0.85
8.699,0.0,1.8,3.88649,4.0441,1.15
8.699,0.0,2.0,3.92942,3.9616,1.45
8.699,0.0,2.5,3.99123,3.8057,1.95
8.699,0.0,3.0,4.04139,3.6856,2.35
9.0,0.0,0.3,3.53148,4.9959,-2.0
9.0,0.0,0.4,3.56229,4.7941,-1.55
9.0,0.0,0.5,3.57978,4.611,-1.2
9.0,0.0,0.6,3.61805,4.4932,-0.85
9.0,0.0,0.7,3.66276,4.389,-0.5
9.0,0.0,0.8,3.70329,4.3091,-0.2
9.0,0.0,0.9,3.7364,4.3927,-0.1
9.0,0.0,1.0,3.76118,4.4376,0.0
9.0,0.0,1.1,3.77815,4.4269,0.12
9.0,0.0,1.2,3.79588,4.3956,0.26
9.0,0.0,1.4,3.82607,4.2933,0.55
9.0,0.0,1.6,3.84819,4.1397,0.85
9.0,0.0,1.8,3.88649,4.0441,1.15
9.0,0.0,2.0,3.92942,3.9616,1.45
9.0,0.0,2.5,3.99123,3.8057,1.95
9.0,0.0,3.0,4.01531,3.4063,2.5249
9.301,0.0,0.3,3.53148,4.9959,-2.0
9.301,0.0,0.4,3.56229,4.7941,-1.55
9.301,0.0,0.5,3.57978,4.611,-1.2
9.301,0.0,0.6,3.61805,4.4932,-0.85
9.301,0.0,0.7,3.66276,4.389,-0.5
9.301,0.0,0.8,3.70329,4.3091,-0.2
9.301,0.0,0.9,3.7364,4.3927,-0.1
9.301,0.0,1.0,3.76118,4.4376,0.0
9.301,0.0,1.1,3.77815,4.4269,0.12
9.301,0.0,1.2,3.79588,4.3956,0.26
9.301,0.0,1.4,3.82607,4.2933,0.55
9.301,0.0,1.6,3.84819,4.1397,0.85
9.301,0.0,1.8,3.88649,4.0441,1.15
9.301,0.0,2.0,3.92277,3.8894,1.4956
9.301,0.0,2.5,3.94836,3.3523,2.2319
9.301,0.0,3.0,3.95902,2.8377,2.8683
9.699,0.0,0.3,3.53148,4.9959,-2.0
9.699,0.0,0.4,3.56229,4.7941,-1.55
9.699,0.0,0.5,3.57978,4.611,-1.2
9.699,0.0,0.6,3.61805,4.4932,-0.85
9.699,0.0,0.7,3.66276,4.389,-0.5
9.699,0.0,0.8,3.70329,4.3091,-0.2
9.699,0.0,0.9,3.7364,4.3927,-0.1
9.699,0.0,1.0,3.76118,4.4376,0.0
9.699,0.0,1.1,3.77815,4.4269,0.12
9.699,0.0,1.2,3.79588,4.3956,0.26
9.699,0.0,1.4,3.81805,4.2063,0.6049
9.699,0.0,1.6,3.81957,3.834,1.0413
9.699,0.0,1.8,3.83625,3.5154,1.4777
9.699,0.0,2.0,3.85642,3.2054,1.9141
9.699,0.0,2.5,3.8555,2.4576,2.7552
9.699,0.0,3.0,3.83233,1.7031,3.4962
9.9031,0.0,0.3,3.53148,4.9959,-2.0
9.9031,0.0,0.4,3.56229,4.7941,-1.55
9.9031,0.0,0.5,3.57978,4.611,-1.2
9.9031,0.0,0.6,3.61805,4.4932,-0.85
9.9031,0.0,0.7,3.66276,4.389,-0.5
9.9031,0.0,0.8,3.70329,4.3091,-0.2
9.9031,0.0,0.9,3.7364,4.3927,-0.1
9.9031,0.0,1.0,3.76118,4.4376,0.0
9.9031,0.0,1.1,3.77736,4.4182,0.1255
9.9031,0.0,1.2,3.78298,4.2562,0.3478
9.9031,0.0,1.4,3.78791,3.8882,0.8024
9.9031,0.0,1.6,3.78319,3.4627,1.267
9.9031,0.0,1.8,3.79289,3.088,1.7317
9.9031,0.0,2.0,3.80519,2.7184,2.1963
9.9031,0.0,2.5,3.77942,1.8006,3.1079
9.9031,0.0,3.0,3.78176,1.297,3.7
10.0792,0.0,0.3,3.53148,4.9959,-2.0
10.0792,0.0,0.4,3.56229,4.7941,-1.55
10.0792,0.0,0.5,3.57978,4.611,-1.2
10.0792,0.0,0.6,3.61805,4.4932,-0.85
10.0792,0.0,0.7,3.66276,4.389,-0.5
10.0792,0.0,0.8,3.70329,4.3091,-0.2
10.0792,0.0,0.9,3.7364,4.3927,-0.1
10.0792,0.0,1.0,3.75121,4.3296,0.0681
10.0792,0.0,1.1,3.7536,4.1638,0.2849
10.0792,0.0,1.2,3.75624,3.9753,0.5217
10.0792,0.0,1.4,3.75459,3.552,1.0053
10.0792,0.0,1.6,3.74233,3.0674,1.4989
10.0792,0.0,1.8,3.74331,2.6288,1.9926
10.0792,0.0,2.0,3.7454,2.1893,2.4862
10.0792,0.0,2.5,3.73159,1.4172,3.3
10.0792,0.0,3.0,3.78176,1.297,3.7
8.699,0.25,0.3,3.52602,4.9741,-2.0
8.699,0.25,0.4,3.55683,4.7723,-1.55
8.699,0.25,0.5,3.57432,4.5891,-1.2
8.699,0.25,0.6,3.61259,4.4714,-0.85
8.699,0.25,0.7,3.65729,4.3671,-0.5
8.699,0.25,0.8,3.69783,4.2873,-0.2
8.699,0.25,0.9,3.73093,4.3708,-0.1
8.699,0.25,1.0,3.75571,4.4157,0.0
8.699,0.25,1.1,3.77269,4.405,0.12
8.699,0.25,1.2,3.79042,4.3737,0.26
8.699,0.25,1.4,3.82061,4.2714,0.55
8.699,0.25,1.6,3.84273,4.1179,0.85
8.699,0.25,1.8,3.88103,4.0223,1.15
8.699,0.25,2.0,3.92396,3.9397,1.45
8.699,0.25,2.5,3.98576,3.7839,1.95
8.699,0.25,3.0,4.03593,3.6637,2.35
9.0,0.25,0.3,3.52602,4.9741,-2.0
9.0,0.25,0.4,3.55683,4.7723,-1.55
9.0,0.25,0.5,3.57432,4.5891,-1.2
9.0,0.25,0.6,3.61259,4.4714,-0.85
9.0,0.25,0.7,3.65729,4.3671,-0.5
9.0,0.25,0.8,3.69783,4.2873,-0.2
9.0,0.25,0.9,3.73093,4.3708,-0.1
9.0,0.25,1.0,3.75571,4.4157,0.0
9.0,0.25,1.1,3.77269,4.405,0.12
9.0,0.25,1.2,3.79042,4.3737,0.26
9.0,0.25,1.4,3.82061,4.2714,0.55
9.0,0.25,1.6,3.84273,4.1179,0.85
9.0,0.25,1.8,3.88103,4.0223,1.15
9.0,0.25,2.0,3.92396,3.9397,1.45
9.0,0.25,2.5,3.98576,3.7839,1.95
9.0,0.25,3.0,4.00984,3.3845,2.5249
9.301,0.25,0.3,3.52602,4.9741,-2.0
9.301,0.25,0.4,3.55683,4.7723,-1.55
9.301,0.25,0.5,3.57432,4.5891,-1.2
9.301,0.25,0.6,3.61259,4.4714,-0.85
9.301,0.25,0.7,3.65729,4.3671,-0.5
9.301,0.25,0.8,3.69783,4.2873,-0.2
9.301,0.25,0.9,3.73093,4.3708,-0.1
9.301,0.25,1.0,3.75571,4.4157,0.0
9.301,0.25,1.1,3.77269,4.405,0.12
9.301,0.25,1.2,3.79042,4.3737,0.26
9.301,0.25,1.4,3.82061,4.2714,0.55
9.301,0.25,1.6,3.84273,4.1179,0.85
9.301,0.25,1.8,3.88103,4.0223,1.15
9.301,0.25,2.0,3.91731,3.8676,1.4956
9.301,0.25,2.5,3.9429,3.3305,2.2319
9.301,0.25,3.0,3.95355,2.8159,2.8683
9.699,0.25,0.3,3.52602,4.9741,-2.0
9.699,0.25,0.4,3.55683,4.7723,-1.55
9.699,0.25,0.5,3.57432,4.5891,-1.2
9.699,0.25,0.6,3.61259,4.4714,-0.85
9.699,0.25,0.7,3.65729,4.3671,-0.5
9.699,0.25,0.8,3.69783,4.2873,-0.2
9.699,0.25,0.9,3.73093,4.3708,-0.1
9.699,0.25,1.0,3.75571,4.4157,0.0
9.699,0.25,1.1,3.77269,4.405,0.12
9.699,0.25,1.2,3.79042,4.3737,0.26
9.699,0.25,1.4,3.81259,4.1845,0.6049
9.699,0.25,1.6,3.81411,3.8121,1.0413
9.699,0.25,1.8,3.83079,3.4936,1.4777
9.699,0.25,2.0,3.85096,3.1836,1.9141
9.699,0.25,2.5,3.85004,2.4358,2.7552
9.699,0.25,3.0,3.82687,1.6812,3.4962
9.9031,0.25,0.3,3.52602,4.9741,-2.0
9.9031,0.25,0.4,3.55683,4.7723,-1.55
9.9031,0.25,0.5,3.57432,4.5891,-1.2
9.9031,0.25,0.6,3.61259,4.4714,-0.85
9.9031,0.25,0.7,3.65729,4.3671,-0.5
9.9031,0.25,0.8,3.69783,4.2873,-0.2
9.9031,0.25,0.9,3.73093,4.3708,-0.1
9.9031,0.25,1.0,3.75571,4.4157,0.0
9.9031,0.25,1.1,3.7719,4.3964,0.1255
9.9031,0.25,1.2,3.77752,4.2344,0.3478
9.9031,0.25,1.4,3.78244,3.8664,0.8024
9.9031,0.25,1.6,3.77772,3.4408,1.267
9.9031,0.25,1.8,3.78742,3.0662,1.7317
9.9031,0.25,2.0,3.79973,2.6965,2.1963
9.9031,0.25,2.5,3.77396,1.7788,3.1079
9.9031,0.25,3.0,3.77629,1.2752,3.7
10.0792,0.25,0.3,3.52602,4.9741,-2.0
10.0792,0.25,0.4,3.55683,4.7723,-1.55
10.0792,0.25,0.5,3.57432,4.5891,-1.2
10.0792,0.25,0.6,3.61259,4.4714,-0.85
10.0792,0.25,0.7,3.65729,4.3671,-0.5
10.0792,0.25,0.8,3.69783,4.2873,-0.2
10.0792,0.25,0.9,3.73093,4.3708,-0.1
10.0792,0.25,1.0,3.74574,4.3078,0.0681
10.0792,0.25,1.1,3.74814,4.1419,0.2849
10.0792,0.25,1.2,3.75078,3.9534,0.5217
10.0792,0.25,1.4,3.74912,3.5302,1.0053
10.0792,0.25,1.6,3.73687,3.0455,1.4989
10.0792,0.25,1.8,3.73785,2.607,1.9926
10.0792,0.25,2.0,3.73994,2.1675,2.4862
10.0792,0.25,2.5,3.72613,1.3953,3.3
10.0792,0.25,3.0,3.77629,1.2752,3.7
