sdss_id,n_visits_staged,split
54833485,18,training
54834099,2,heldout
54834231,2,training
54834480,15,training
54835951,2,heldout
54836727,18,heldout
54836801,2,heldout
54837231,2,training
54838254,2,training
54838364,2,other
54840125,15,heldout
54840909,2,training
54840920,14,heldout
54840949,2,other
54841148,18,training
54841773,3,training
54844545,3,heldout
54844698,18,heldout
54845170,14,heldout
54846231,3,heldout
54846671,2,training
54848527,3,heldout
54852056,3,heldout
54854842,2,training
54863544,2,training
54863817,3,other
54864892,3,training
54864950,3,training
54865178,6,training
54865303,2,training
54866727,5,training
54867312,3,heldout
54867990,6,training
54868268,3,heldout
54870442,2,training
54870942,3,training
54870958,3,heldout
54871259,2,other
54871702,3,heldout
54872755,2,heldout
54874673,8,heldout
54875317,2,heldout
54875436,2,other
54875576,3,heldout
54875816,8,training
54876289,4,training
54876654,2,training
54876938,2,heldout
54876996,7,heldout
54877124,9,training
54877162,8,training
54877184,7,training
54877230,4,training
54877276,2,other
54877307,2,heldout
54877463,4,training
54877646,4,heldout
54877755,2,training
54877927,4,training
54878067,2,training
54878088,2,heldout
54878224,8,other
54878281,4,heldout
54878404,3,training
54878433,4,heldout
54880484,2,other
54884194,4,training
54884278,3,heldout
54885101,4,training
54885210,4,heldout
54885244,4,training
54885245,3,training
54885324,3,heldout
54888342,3,heldout
54888533,6,training
54889052,3,training
54889060,6,training
54896398,3,training
54897852,3,heldout
54902814,2,training
54909244,2,heldout
54909593,2,other
54910859,3,training
54911606,2,other
54912417,2,training
54913600,2,training
54913665,2,training
54914605,3,training
54916737,2,heldout
54922239,3,other
54925012,3,heldout
54932497,3,heldout
54933628,3,training
54935525,3,training
54936277,3,heldout
54940651,3,heldout
54943912,3,heldout
54943931,3,heldout
54946816,2,heldout
54949365,3,heldout
54950575,3,training
54952591,3,training
54953614,2,heldout
54954757,3,heldout
54955254,2,training
54955359,2,heldout
54955761,2,training
54955949,2,training
54956703,6,training
54970837,2,other
54978730,3,heldout
54978769,3,training
54979000,3,heldout
54979108,3,heldout
54979169,3,training
54979561,3,other
54979594,3,other
54979756,3,other
54982739,3,training
54982982,2,other
54984526,3,heldout
54984737,3,training
54987088,3,heldout
54987146,3,training
54989592,2,heldout
54992439,2,other
54994470,2,training
54998275,3,heldout
55000775,6,heldout
55003310,3,heldout
55004526,3,training
55004805,6,heldout
55005535,6,heldout
55005628,6,training
55009570,2,heldout
55010226,2,training
55010888,2,training
55011460,2,training
55011951,2,training
55012093,7,heldout
55012728,3,heldout
55013735,3,heldout
55014752,3,heldout
55015389,2,training
55015824,7,heldout
55015878,2,heldout
55015892,3,training
55015993,3,other
55016114,7,training
55016917,4,heldout
55017815,6,training
55018137,7,heldout
55018480,3,training
55018552,4,heldout
55019694,3,other
55019920,3,heldout
55020046,7,training
55020223,4,training
55021245,6,heldout
55022915,6,training
55023469,2,training
55024152,2,heldout
55027069,2,heldout
55031440,2,training
55036812,7,training
55048086,2,heldout
55051760,2,heldout
55053620,3,heldout
55053839,4,heldout
55060319,4,training
55061286,3,other
55062345,4,training
55062932,4,other
55064317,4,heldout
55068211,2,training
55069043,2,heldout
55072583,2,heldout
55074603,4,training
55074962,4,heldout
55074966,4,training
55075453,2,heldout
55075603,4,heldout
55080289,4,training
55082278,4,training
55082375,4,training
55082481,4,heldout
55082592,4,heldout
55082802,2,heldout
55082871,4,heldout
55084965,2,heldout
55090060,2,heldout
55090199,2,other
55091814,14,training
55091816,24,training
55091922,2,heldout
55091924,3,heldout
55091937,14,training
55091995,2,training
55092511,2,training
55092985,2,other
55094141,3,heldout
55095617,3,heldout
55098232,2,heldout
55098413,2,training
55098585,2,other
55098671,2,training
55098952,2,heldout
55099275,14,other
55099453,14,training
55099517,14,training
55100294,2,training
55101383,3,training
55101761,2,heldout
55102467,24,heldout
55102504,2,heldout
55102548,2,training
55102729,22,training
55102760,2,training
55103212,14,heldout
55103436,2,training
55103841,17,heldout
55103854,14,heldout
55103934,4,training
55104034,3,heldout
55104203,2,heldout
55104207,4,other
55104317,24,heldout
55104358,4,heldout
55104371,14,training
55104487,14,training
55104567,13,heldout
55104606,4,heldout
55104848,2,training
55105234,10,training
55105269,3,heldout
55105575,24,training
55105653,2,training
55105657,3,heldout
55105778,7,training
55105988,4,training
55106217,10,heldout
55106267,4,training
55106613,4,heldout
55106615,2,other
55107260,2,heldout
55108987,3,training
55109155,14,training
55109172,4,heldout
55109199,11,training
55109233,2,training
55109304,3,training
55109377,3,training
55109409,9,heldout
55109431,24,training
55110392,4,training
55110430,3,heldout
55110457,3,training
55110758,10,other
55110905,14,training
55110933,14,training
55111003,2,heldout
55111019,14,heldout
55111024,2,heldout
55111153,2,heldout
55111654,10,training
55111709,17,training
55112026,2,training
55112573,3,training
55113601,2,other
55114402,2,training
55114467,5,heldout
55114955,2,heldout
55122749,4,heldout
55124515,4,training
55125868,4,heldout
55127630,3,training
55127969,3,heldout
55128272,2,training
55128464,4,heldout
55129441,3,training
55131635,3,heldout
55131752,3,heldout
55132128,3,heldout
55132131,3,training
55132907,3,heldout
55133232,2,heldout
55134092,2,heldout
55136739,3,training
55138081,3,training
55138291,3,training
55142284,2,training
55142874,3,training
55143021,2,training
55145697,2,heldout
55146050,3,heldout
55146192,3,heldout
55146326,2,training
55146584,3,other
55146658,3,training
55155690,3,other
55172199,3,heldout
55179271,2,heldout
55181394,3,training
55190055,3,training
55200046,5,heldout
55213455,8,heldout
55215694,3,training
55216383,2,other
55216667,3,training
55217161,4,training
55224234,2,heldout
55231001,3,training
55260323,3,heldout
55261933,3,heldout
55263267,2,training
55266656,3,training
55274917,2,training
55280282,3,other
55282520,3,other
55284136,2,training
55289132,2,training
55290789,3,training
55291934,4,other
55292074,2,training
55292748,4,training
55293190,2,training
55293398,2,heldout
55294735,2,training
55294931,4,training
55297025,2,training
55297231,2,training
55298561,7,heldout
55299202,2,heldout
55300251,2,training
55300278,2,heldout
55300366,3,heldout
55301163,2,other
55301354,6,training
55301387,5,training
55301440,2,heldout
55302417,3,heldout
55302626,4,heldout
55302633,4,heldout
55303714,2,heldout
55303910,8,other
55307807,3,other
55312765,3,heldout
55314348,4,training
55314674,3,training
55317222,3,other
55320727,3,heldout
55323810,3,other
55324897,4,training
55337222,3,other
55337805,3,heldout
55337954,2,heldout
55337991,2,other
55338171,3,training
55338361,3,heldout
55338798,3,other
55339159,4,training
55341568,3,heldout
55341849,3,heldout
55345867,3,heldout
55348661,3,training
55350896,6,heldout
55354164,2,heldout
55368701,4,training
55374927,3,training
55406107,3,heldout
55407648,3,training
55409462,6,heldout
55412957,6,training
55412982,6,training
55416611,3,training
55445278,3,heldout
55451865,3,heldout
55456028,3,heldout
55466727,3,training
55467289,6,heldout
55470414,3,heldout
55471238,3,heldout
55472139,3,training
55472662,6,heldout
55475042,4,training
55475121,3,heldout
55475393,6,training
55478669,6,heldout
55481801,6,training
55482087,3,heldout
55482198,4,heldout
55484895,2,training
55496110,3,other
55497105,3,heldout
55498005,3,training
55498188,3,heldout
55499250,12,heldout
55499593,6,heldout
55500142,6,other
55501736,7,training
55501886,12,training
55502493,6,heldout
55502583,3,heldout
55502766,12,training
55539291,4,other
55544803,6,heldout
55545334,3,training
55550662,6,training
55551340,3,heldout
55556056,3,heldout
55557017,3,training
55557361,3,heldout
55558852,3,training
55566802,3,other
55567090,3,heldout
55568550,3,training
55568701,6,other
55568773,3,training
55569063,3,training
55569190,9,training
55569213,3,heldout
55569228,3,heldout
55589688,5,heldout
55589939,5,heldout
55590352,5,training
55591844,5,heldout
55592316,5,training
55594289,5,training
55596019,5,training
55596247,5,training
55655881,4,heldout
55656463,3,heldout
55656544,4,heldout
55657752,3,training
55657863,7,heldout
55658038,4,training
55658042,3,heldout
55658150,10,training
55658407,3,heldout
55658929,32,heldout
55659078,32,other
55659136,3,training
55659226,7,training
55659253,10,heldout
55659270,4,training
55659287,11,training
55659374,4,heldout
55659430,7,training
55659543,7,training
55659595,3,heldout
55659667,3,training
55659766,11,training
55659869,11,training
55659963,7,training
55659975,4,training
55659982,31,training
55659988,32,training
55660085,4,training
55660087,4,training
55660092,11,training
55660114,4,heldout
55660125,7,heldout
55660185,10,training
55660583,32,heldout
55660830,10,training
55661092,7,training
55661131,10,heldout
55661140,32,training
55661284,10,training
55661335,32,training
55661347,3,training
55661372,32,heldout
55661406,4,heldout
55661529,32,heldout
55661554,4,heldout
55661702,11,heldout
55661715,32,training
55661854,7,training
55662143,7,training
55662211,4,heldout
55662284,4,heldout
55662478,10,heldout
55662541,10,training
55662549,11,heldout
55706555,4,heldout
55715527,4,heldout
55719391,11,training
55719877,32,training
55720058,7,training
55720060,4,heldout
55720186,7,other
55720382,10,training
55720424,32,training
55720442,7,training
55720494,32,training
55721342,3,training
55721409,10,heldout
55721761,3,heldout
55721768,32,training
55721851,7,heldout
55721912,11,heldout
55721997,4,training
55722285,31,training
55722289,32,training
55722292,11,training
55722296,7,heldout
55722344,11,training
55722392,32,training
55723175,11,training
55743899,28,training
55744600,30,heldout
55744629,4,heldout
55744632,4,training
55745410,4,other
55745515,4,training
55745711,14,heldout
55745751,29,training
55745770,38,heldout
55745831,14,heldout
55746042,25,training
55746127,25,other
55746553,4,other
55746733,4,training
55746795,39,training
55746841,17,training
55746858,44,training
55746905,39,training
55746951,17,training
55747373,17,training
55747502,4,training
55747514,4,training
55747525,39,heldout
55747702,39,training
55748293,4,training
55748357,27,heldout
55748421,28,training
55748485,25,training
55748634,38,other
55748724,39,training
55748729,39,training
55748767,4,training
55749091,16,heldout
55749512,19,heldout
55749733,4,heldout
55749794,4,heldout
55749812,17,other
55749850,4,training
55749976,16,other
55750179,4,heldout
55750223,43,training
55750233,39,heldout
55750420,4,training
55750432,4,training
55750449,4,training
55750563,9,heldout
55750602,4,training
55750704,4,training
55754773,4,heldout
55758668,3,training
55758669,3,other
55759707,5,training
55761116,8,heldout
55761259,4,other
55761833,11,heldout
55763063,2,heldout
55763441,5,heldout
55763540,2,heldout
55763667,2,heldout
55763965,2,heldout
55764287,8,training
55764304,5,training
55765071,3,heldout
55766193,6,heldout
55766511,3,heldout
55767221,11,training
55767364,3,training
55769211,13,heldout
55769282,3,training
55769440,10,training
55769672,2,training
55769901,2,training
55769932,3,heldout
55770353,3,training
55770457,5,heldout
55772178,3,heldout
55773122,3,heldout
55773772,8,heldout
55776858,4,training
55776961,7,heldout
55776999,3,training
55777374,4,heldout
55778455,10,heldout
55778482,7,training
55778575,7,heldout
55779087,3,heldout
55780981,4,heldout
55781625,4,other
55781657,4,heldout
55781749,4,training
55782490,6,training
55782603,4,training
55788787,3,heldout
55788821,3,heldout
55789429,5,heldout
55789451,5,heldout
55790221,3,heldout
55791038,9,heldout
55791188,3,heldout
55791227,3,heldout
55791257,5,heldout
55791526,3,training
55791822,3,heldout
55791982,3,training
55792918,4,heldout
55793898,2,heldout
55793981,2,training
55794319,2,heldout
55794905,4,other
55794977,3,heldout
55795010,4,heldout
55797265,6,heldout
55797853,3,training
55799125,6,heldout
55817211,9,training
55817460,3,training
55817606,3,training
55817611,4,training
55817828,4,heldout
55817852,3,heldout
55817868,3,training
55818117,3,heldout
55889551,3,heldout
55889735,26,training
55892890,4,heldout
55892898,4,heldout
55893077,6,training
55893131,6,heldout
55893188,2,heldout
55893227,2,heldout
55893557,26,training
55893911,26,heldout
55894132,2,training
55894148,4,training
55894175,27,heldout
55894183,26,training
55894187,3,heldout
55894273,14,training
55894374,27,training
55894428,26,training
55894621,7,training
55894641,6,heldout
55894660,15,heldout
55894765,26,heldout
55894794,3,training
55894891,26,heldout
55894901,21,heldout
55894987,26,training
55895112,39,training
55895308,3,other
55895411,5,heldout
55895472,3,training
55895571,3,training
55895597,7,heldout
55895622,6,training
55895662,13,training
55895723,7,heldout
55895814,3,training
55895821,13,training
55895882,3,heldout
55895999,7,training
55896061,3,heldout
55896163,7,heldout
55896179,8,heldout
55896184,26,heldout
55896192,8,training
55896249,26,training
55896306,27,training
55896409,26,heldout
55896463,7,heldout
55896538,39,heldout
55896565,4,training
55896599,39,training
55896609,39,training
55896620,39,training
55896623,27,training
55896624,39,training
55896635,5,training
55896664,3,heldout
55896679,26,training
55896731,47,training
55896735,39,heldout
55896759,39,training
55896770,40,heldout
55896772,39,heldout
55896781,39,heldout
55896805,39,training
55896814,39,training
55896877,6,heldout
55896895,26,heldout
55896934,14,training
55896959,5,heldout
55897006,18,training
55897061,4,training
55897243,39,heldout
55897253,26,heldout
55897260,39,heldout
55897298,39,heldout
55897299,39,heldout
55897365,5,heldout
55897422,32,training
55897461,7,training
55900861,3,training
55900898,3,training
55901709,6,other
55905391,3,heldout
55905642,3,training
55906606,3,training
55906798,3,heldout
55907157,3,training
55907381,3,training
55907854,6,training
55908376,3,training
55909229,3,heldout
55909345,3,heldout
55909805,3,training
55909984,3,heldout
55910382,6,training
55910718,3,heldout
55910748,2,heldout
55911025,4,heldout
55911394,3,heldout
55911836,3,heldout
55911929,4,training
55911989,3,heldout
55912113,2,training
55912166,3,training
55912209,3,training
55912549,4,heldout
55912693,3,training
55912833,3,training
55913644,4,heldout
55913873,2,training
55913881,3,training
55913960,2,heldout
55914426,6,heldout
55914820,4,heldout
55915353,4,heldout
55915664,2,heldout
55915781,4,heldout
55916141,3,heldout
55916652,3,heldout
55917329,2,heldout
55918006,2,training
55918238,5,heldout
55918246,5,training
55918504,5,heldout
55918563,2,heldout
55918812,3,heldout
55918895,6,training
55918998,8,heldout
55919087,7,heldout
55919092,9,training
55919103,7,heldout
55919156,6,training
55919189,8,training
55919192,3,training
55919371,11,heldout
55919375,3,heldout
55919412,6,training
55919440,13,heldout
55919553,5,heldout
55919566,3,training
55919668,26,heldout
55919777,18,heldout
55919800,12,heldout
55919828,4,other
55919861,5,heldout
55919933,26,training
55919944,26,heldout
55919974,7,heldout
55919976,26,training
55920043,53,heldout
55920094,49,training
55920179,6,heldout
55920290,3,training
55920309,6,training
55920317,3,training
55920375,24,training
55920376,10,training
55920427,24,heldout
55920431,10,training
55920463,4,heldout
55920603,6,other
55920718,5,training
55920753,10,heldout
55920780,9,heldout
55920797,6,training
55920807,8,training
55920815,7,heldout
55920870,8,training
55921016,13,training
55921018,2,heldout
55921437,12,heldout
55921457,13,training
55921563,6,heldout
55921612,12,heldout
55921656,12,heldout
55921678,3,heldout
55921685,3,heldout
55921802,13,training
55921907,3,heldout
55921990,3,training
55922078,5,training
55922096,3,heldout
55922837,3,heldout
55922892,2,training
55923186,2,other
55924029,2,heldout
55924197,3,training
55927416,2,training
55928714,2,heldout
55928843,2,training
55929199,2,training
55931933,26,heldout
55936130,26,training
55936183,4,training
55936197,5,heldout
55936463,26,heldout
55936494,3,training
55936591,4,training
55936832,39,training
55936868,39,heldout
55936876,26,heldout
55936913,39,heldout
55936932,39,heldout
55936948,39,heldout
55937008,26,heldout
55937178,39,heldout
55937182,26,training
55937300,26,training
55937403,28,training
55937809,3,training
55937875,26,training
55937949,26,heldout
55937994,26,heldout
55938069,26,training
55938191,39,training
55938196,39,heldout
55938201,39,training
55938245,39,training
55938271,3,training
55938293,15,heldout
55938294,53,training
55938302,39,training
55938307,39,heldout
55938311,39,training
55938319,39,training
55938323,39,heldout
55938324,39,heldout
55938343,39,training
55938353,39,heldout
55938356,29,heldout
55938364,39,heldout
55938371,39,heldout
55938387,33,heldout
55938404,29,training
55938408,29,heldout
55938412,39,heldout
55938432,39,other
55938434,53,training
55938445,27,heldout
55938469,39,training
55938488,39,training
55938494,27,heldout
55938499,8,training
55938508,39,training
55938524,39,training
55938537,29,heldout
55938542,39,training
55938552,39,training
55938561,39,heldout
55938574,27,training
55938618,29,heldout
55938630,39,training
55938636,39,training
55938637,5,training
55938644,29,heldout
55938646,39,heldout
55938653,39,heldout
55938663,39,heldout
55938676,29,training
55938681,4,heldout
55938702,39,training
55938718,53,heldout
55938730,4,training
55938746,39,heldout
55938784,39,training
55938824,29,heldout
55938853,33,heldout
55938920,39,training
55938934,39,training
55938999,39,training
55939003,39,heldout
55939010,39,heldout
55939016,39,training
55939021,39,training
55939051,15,other
55939066,7,training
55939099,39,training
55939115,39,training
55939135,39,heldout
55939149,39,training
55939162,39,training
55939214,39,heldout
55939223,39,training
55939280,40,training
55939283,33,training
55939313,39,heldout
55939337,26,heldout
55939353,39,training
55939385,40,training
55939457,39,other
55939495,39,training
55939520,37,training
55939524,36,heldout
55939540,40,heldout
55939541,39,heldout
55939550,39,heldout
55939565,39,training
55939581,38,heldout
55939589,38,training
55939619,6,heldout
55939625,39,training
55939628,39,heldout
55939639,14,heldout
55939640,3,training
55939645,39,heldout
55939672,39,training
55939673,27,training
55939682,39,heldout
55939691,5,training
55939694,39,heldout
55939697,39,training
55939698,26,training
55939709,39,heldout
55939734,38,heldout
55939745,32,training
55939747,39,heldout
55939749,39,heldout
55939751,3,heldout
55939763,3,training
55939765,39,heldout
55939797,39,heldout
55939851,39,heldout
55939880,38,training
55939925,39,training
55939945,39,training
55939950,39,training
55939958,39,training
55939966,39,training
55939971,38,training
55939982,39,training
55939988,39,heldout
55939989,39,heldout
55939991,39,heldout
55939999,39,training
55940005,39,heldout
55940009,6,heldout
55940035,39,training
55940090,26,training
55940113,26,heldout
55940396,29,heldout
55940613,26,training
55940628,26,training
55940669,8,heldout
55940767,26,training
55940823,26,training
55941139,26,training
55941188,26,heldout
55941225,25,heldout
55944091,2,training
55944443,2,heldout
55951838,2,training
55952980,2,heldout
55953165,2,training
55955419,2,heldout
55955841,2,heldout
55956090,2,training
55956724,2,training
55956734,2,training
55957559,2,heldout
55958007,2,training
55958050,3,heldout
55958079,2,training
55958101,2,training
55958256,48,heldout
55958319,13,other
55958386,4,training
55958389,26,training
55958409,26,training
55958510,3,training
55958576,26,heldout
55958611,32,training
55958630,26,heldout
55958635,3,heldout
55958658,3,heldout
55958708,17,heldout
55958731,26,heldout
55958772,3,heldout
55958948,26,heldout
55958972,18,heldout
55958989,26,training
55959009,26,training
55959042,38,training
55959058,52,other
55959103,26,heldout
55959273,26,training
55959300,3,heldout
55959336,26,training
55959356,26,training
55959369,25,heldout
55959377,26,training
55959526,26,heldout
55959540,26,heldout
55959975,3,heldout
55960584,3,training
55960641,3,heldout
55960671,3,heldout
55961074,3,other
55961099,13,heldout
55966508,2,training
55966911,2,training
55966990,2,heldout
55967078,2,heldout
55967118,2,heldout
55967340,2,heldout
55968179,2,training
55968589,2,training
55968708,2,heldout
55968728,2,heldout
55968735,2,heldout
55968785,2,training
55969184,2,training
55969242,2,other
55969555,2,training
55969614,2,training
55971831,2,heldout
55971872,2,heldout
55978758,2,training
55978888,2,heldout
55979316,3,training
55979512,2,training
55979665,2,heldout
55980081,2,heldout
55981892,2,heldout
55984490,2,training
56030236,2,training
56030518,2,training
56044892,6,other
56047593,6,other
56047739,6,heldout
56047760,6,heldout
56047761,3,training
56047793,3,training
56048563,6,heldout
56048678,6,training
56048751,6,heldout
56048994,6,training
56049015,6,other
56049133,6,training
56049134,6,heldout
56049167,6,heldout
56049589,3,heldout
56049834,3,training
56050089,3,heldout
56050145,3,training
56050162,3,heldout
56050435,3,heldout
56050570,3,training
56052309,6,heldout
56052416,6,heldout
56052463,6,heldout
56052877,6,heldout
56053150,6,heldout
56053277,6,training
56053310,6,heldout
56053478,6,training
56053548,6,training
56053883,6,heldout
56053983,6,heldout
56054107,7,training
56054160,6,training
56054321,6,training
56054856,6,training
56054880,6,heldout
56055340,6,heldout
56055700,6,heldout
56056821,6,heldout
56057034,6,heldout
56057284,6,training
56071517,6,heldout
56071545,6,training
56088490,2,training
56089547,2,heldout
56089598,2,heldout
56089767,3,heldout
56089935,2,heldout
56106670,2,heldout
56106795,2,training
56107547,2,heldout
56107657,2,training
56114630,9,training
56115071,9,training
56115396,9,heldout
56115506,2,heldout
56115663,2,heldout
56117016,6,heldout
56117357,2,heldout
56117507,2,heldout
56117597,2,training
56117683,2,heldout
56117730,2,training
56117793,2,heldout
56117992,2,other
56118163,5,heldout
56118187,5,heldout
56118303,23,heldout
56118369,5,training
56118456,12,heldout
56118511,23,heldout
56118527,23,training
56118552,6,training
56118576,5,heldout
56124311,12,heldout
56124479,23,heldout
56124577,6,training
56124600,6,heldout
56124631,6,heldout
56124698,6,training
56124760,6,training
56124826,11,heldout
56124913,6,training
56124936,5,training
56125011,23,training
56125068,6,heldout
56125184,6,heldout
56125238,6,training
56125313,6,heldout
56125336,6,training
56125395,6,heldout
56125419,5,heldout
56125496,6,training
56125612,6,heldout
56125815,6,heldout
56125831,23,heldout
56125982,6,training
56125983,6,heldout
56126058,6,heldout
56126086,6,heldout
56126093,11,heldout
56126112,6,heldout
56126118,6,training
56126274,22,heldout
56126350,6,training
56126418,6,heldout
56126426,5,training
56126527,11,training
56126579,23,heldout
56127151,12,training
56127155,12,heldout
56127220,6,training
56128217,6,heldout
56128229,22,heldout
56128509,11,training
56128536,12,heldout
56128565,6,heldout
56146165,7,training
56146184,6,training
56147319,6,training
56147446,7,heldout
56147449,26,training
56147452,7,heldout
56165349,27,heldout
56165393,27,heldout
56179057,4,heldout
56179171,3,other
56180363,6,heldout
56181165,3,other
56194817,2,training
56203137,2,heldout
56203244,2,training
56208345,2,heldout
56212778,6,heldout
56213019,3,training
56213022,4,training
56213087,3,heldout
56213439,6,heldout
56214507,5,heldout
56214562,6,heldout
56214640,4,heldout
56214670,6,training
56214776,6,training
56214835,4,training
56223915,2,training
56225509,2,training
56227125,3,training
56229091,2,training
56229258,3,training
56229835,2,other
56230511,2,other
56231484,2,training
56232290,2,heldout
56232786,2,training
56234134,2,heldout
56236327,2,training
56237024,3,heldout
56239599,6,heldout
56242037,3,training
56242743,3,heldout
56243205,3,heldout
56243224,6,training
56243355,3,training
56243503,3,training
56243608,5,training
56244328,4,training
56244661,3,heldout
56244728,3,heldout
56245047,4,other
56245217,6,training
56246010,6,training
56246069,4,heldout
56246327,2,heldout
56249631,2,training
56251358,6,heldout
56252269,6,training
56252549,4,heldout
56252662,3,heldout
56255179,2,heldout
56255766,2,heldout
56255930,5,heldout
56256171,2,heldout
56256475,3,training
56258872,3,heldout
56265207,3,training
56265753,6,heldout
56265924,3,heldout
56268850,2,heldout
56268858,4,training
56269208,2,heldout
56269948,6,training
56270024,2,training
56270025,3,training
56270213,6,heldout
56270257,4,training
56270264,4,heldout
56270296,4,heldout
56270349,2,other
56270420,3,training
56270450,2,heldout
56270679,3,training
56270768,5,training
56270806,2,training
56270853,2,heldout
56280203,3,heldout
56280272,5,training
56280488,6,heldout
56280528,3,heldout
56280552,2,heldout
56280618,5,training
56280831,4,training
56280912,3,heldout
56281287,3,heldout
56281319,3,training
56281376,4,heldout
56281995,3,training
56282048,3,training
56282145,3,training
56282154,6,training
56282203,2,training
56282304,3,heldout
56282389,2,training
56282476,4,training
56282505,2,heldout
56282617,4,training
56282635,3,training
56282653,4,other
56282719,4,heldout
56282785,2,training
56282867,6,heldout
56282873,2,training
56283139,4,other
56283422,2,other
56283453,2,training
56283502,4,heldout
56283552,4,other
56283621,3,training
56283650,4,heldout
56283659,3,training
56283664,4,training
56283741,4,other
56283760,3,heldout
56283792,2,training
56283996,3,training
56286102,4,heldout
56286278,4,training
